[2025-02-09 04:00:23][MAIN] - Contacting Arduino..
[2025-02-09 04:00:24][MAIN] - Arduino found!
[2025-02-09 04:00:24][MAIN] - Actuator running.
[2025-02-09 09:08:47][MAIN] - To Arduino: STRIPTOPDEF
[2025-02-09 09:08:47][MAIN] - To Arduino: STRIPON
[2025-02-09 09:08:47][MAIN] - To Arduino: STRIPG4
[2025-02-09 09:08:47][MAIN] - Command STRIPTOPG4 sent
[2025-02-09 09:08:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:09:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:10:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:11:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:12:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:13:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:14:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:15:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:16:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:17:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:18:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:19:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:07][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:17][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:20:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:21:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:22:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:23:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:28][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:38][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:48][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:24:58][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:08][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:18][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:25:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:26:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:27:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:39][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:49][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:28:59][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:29:09][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:29:19][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:29:29][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:29:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:29:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:30:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:31:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:32:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:00][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:10][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:20][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:30][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:40][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:33:50][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:34:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:35:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:36:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:41][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:37:51][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:01][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:11][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:21][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:31][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:38:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:39:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:40:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:41:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:02][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:12][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:22][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:32][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:42][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:42:52][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:43:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:44:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:45:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:23][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:33][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:43][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:46:53][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:03][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:13][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:47:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:48:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:49:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:44][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:50:54][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:04][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:14][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:24][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:34][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:51:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:52:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:53:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:54:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:05][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:15][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:25][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:35][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:45][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:55:55][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:56:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:57:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:58:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:26][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:36][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:46][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 09:59:56][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:06][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:16][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:27][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:37][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:47][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:00:57][FLASK] - AUDIO: {'audio': 'pingvol'}
[2025-02-09 10:01:07][FLASK] - AUDIO: {'audio': 'pingvol'}
