setip 1.1.1.1 pippo ||| from 151.53.126.43|58287|17:17:25
get claudio ||| from 31.156.71.139|59492|00:02:14
getinverse 31.156.71.139 ||| from 31.156.71.139|59493|00:02:22
get claudio ||| from 31.156.71.139|59494|00:02:22
getinverse 31.156.71.139 ||| from 31.156.71.139|56211|00:02:41
get claudio ||| from 31.156.71.139|56212|00:02:41
getinverse 151.53.126.43 ||| from 151.53.126.43|56455|00:03:05
get giulio ||| from 151.53.126.43|56456|00:03:05
getinverse 31.156.71.139 ||| from 31.156.71.139|63536|00:04:00
get giulio ||| from 31.156.71.139|63537|00:04:00
getinverse 31.156.71.139 ||| from 31.156.71.139|63540|00:04:10
get claudio ||| from 31.156.71.139|63541|00:04:10
getinverse 31.156.71.139 ||| from 31.156.71.139|63426|00:04:45
get claudio ||| from 31.156.71.139|63427|00:04:45
getinverse 151.53.126.43 ||| from 151.53.126.43|56610|17:43:52
get claudio ||| from 151.53.126.43|56611|17:43:52
getinverse 151.53.126.43 ||| from 151.53.126.43|53905|17:44:24
getinverse 81.51.93.221 ||| from 151.53.126.43|53906|17:44:24
getinverse 151.53.126.43 ||| from 151.53.126.43|61386|17:44:39
getinverse 81.51.93.221 ||| from 151.53.126.43|61387|17:44:39
getinverse 151.53.126.43 ||| from 151.53.126.43|50935|17:52:49
getinverse 81.51.93.221 ||| from 151.53.126.43|50936|17:52:49
setip 94.34.47.32 francesco ||| from 151.53.126.43|58699|18:57:26
getinverse 151.53.126.43 ||| from 151.53.126.43|49462|18:58:05
get francesco ||| from 151.53.126.43|49463|18:58:05
getinverse 151.53.126.43 ||| from 151.53.126.43|55403|18:59:57
get francesco ||| from 151.53.126.43|55404|18:59:57
getinverse 151.53.126.43 ||| from 151.53.126.43|62577|19:01:44
get francesco ||| from 151.53.126.43|62578|19:01:44
getinverse 151.53.126.43 ||| from 151.53.126.43|63267|19:03:09
get francesco ||| from 151.53.126.43|63268|19:03:09
getinverse 151.53.126.43 ||| from 151.53.126.43|64268|19:05:22
get francesco ||| from 151.53.126.43|64269|19:05:22
getinverse 151.53.126.43 ||| from 151.53.126.43|63380|19:09:14
get francesco ||| from 151.53.126.43|63381|19:09:14
getinverse 151.53.126.43 ||| from 151.53.126.43|64175|19:10:19
get francesco ||| from 151.53.126.43|64176|19:10:19
getinverse 151.53.126.43 ||| from 151.53.126.43|61839|21:24:23
get francesco ||| from 151.53.126.43|61840|21:24:23
getinverse 151.53.126.43 ||| from 151.53.126.43|49496|21:24:25
get francesco ||| from 151.53.126.43|49497|21:24:25
getinverse 151.53.126.43 ||| from 151.53.126.43|64365|21:46:32
get francesco ||| from 151.53.126.43|64366|21:46:32
getinverse 151.53.126.43 ||| from 151.53.126.43|55335|21:48:33
get francesco ||| from 151.53.126.43|55336|21:48:33
getinverse 151.53.126.43 ||| from 151.53.126.43|55769|21:50:03
get francesco ||| from 151.53.126.43|55770|21:50:03
getinverse 151.53.126.43 ||| from 151.53.126.43|62519|21:52:27
get francesco ||| from 151.53.126.43|62520|21:52:27
getinverse 151.53.126.43 ||| from 151.53.126.43|60576|21:57:57
get francesco ||| from 151.53.126.43|60577|21:57:57
getinverse 151.53.126.43 ||| from 151.53.126.43|62215|21:58:39
get francesco ||| from 151.53.126.43|62216|21:58:39
getinverse 151.53.126.43 ||| from 151.53.126.43|52124|22:01:37
get francesco ||| from 151.53.126.43|52125|22:01:37
getinverse 151.53.126.43 ||| from 151.53.126.43|55219|22:02:13
get francesco ||| from 151.53.126.43|55220|22:02:13
getinverse 151.53.126.43 ||| from 151.53.126.43|55924|22:10:52
get francesco ||| from 151.53.126.43|55925|22:10:52
getinverse 151.53.126.43 ||| from 151.53.126.43|49292|22:11:47
get francesco ||| from 151.53.126.43|49293|22:11:47
getinverse 151.53.126.43 ||| from 151.53.126.43|60072|16:16:23
get Giulio ||| from 151.53.126.43|60073|16:16:23
getinverse 151.53.126.43 ||| from 151.53.126.43|52859|16:16:45
get Giulio ||| from 151.53.126.43|52860|16:16:45
getinverse 109.116.226.86 ||| from 109.116.226.86|64810|16:17:17
get Claudio ||| from 109.116.226.86|64812|16:17:17
getinverse 151.53.126.43 ||| from 151.53.126.43|51060|16:17:19
get Giulio ||| from 151.53.126.43|51061|16:17:19
getinverse 151.53.126.43 ||| from 151.53.126.43|57446|16:17:50
get Giulio ||| from 151.53.126.43|57447|16:17:50
rm giulio ||| from 151.53.126.43|64756|16:19:18
setip 109.116.226.86 giulio ||| from 151.53.126.43|52701|16:19:29
getinverse 109.116.226.86 ||| from 109.116.226.86|64322|16:19:35
get Claudio ||| from 109.116.226.86|64323|16:19:35
getinverse 151.53.126.43 ||| from 151.53.126.43|52703|16:19:47
get Giulio ||| from 151.53.126.43|52704|16:19:47
getinverse 109.116.226.86 ||| from 109.116.226.86|62221|16:20:01
get Claudio ||| from 109.116.226.86|62222|16:20:01
getinverse 151.53.126.43 ||| from 151.53.126.43|57151|16:20:31
get Giulio ||| from 151.53.126.43|57152|16:20:31
getinverse 151.53.126.43 ||| from 151.53.126.43|60670|16:22:45
get Giulio ||| from 151.53.126.43|60671|16:22:45
getinverse 151.53.126.43 ||| from 151.53.126.43|59678|17:23:21
get Francesco ||| from 151.53.126.43|59679|17:23:21
getinverse 151.53.126.43 ||| from 151.53.126.43|56942|17:27:18
get Francesco ||| from 151.53.126.43|56943|17:27:18
getinverse 151.53.126.43 ||| from 151.53.126.43|64944|17:33:32
get Francesco ||| from 151.53.126.43|64945|17:33:32
getinverse 151.53.126.43 ||| from 151.53.126.43|64946|17:33:53
get Francesco ||| from 151.53.126.43|64947|17:33:53
getinverse 151.53.126.43 ||| from 151.53.126.43|65441|17:44:20
get Francesco ||| from 151.53.126.43|65442|17:44:20
getinverse 151.53.126.43 ||| from 151.53.126.43|58529|00:36:47
get Claudio ||| from 151.53.126.43|58530|00:36:47
getinverse 151.53.126.43 ||| from 151.53.126.43|64178|00:39:17
get Claudio ||| from 151.53.126.43|64179|00:39:17
getinverse 151.53.126.43 ||| from 151.53.126.43|63929|00:40:05
get Claudio ||| from 151.53.126.43|63930|00:40:05
getinverse 151.53.126.43 ||| from 151.53.126.43|64601|00:41:39
get Claudio ||| from 151.53.126.43|64602|00:41:39
getinverse 151.53.126.43 ||| from 151.53.126.43|62334|00:43:33
get Claudio ||| from 151.53.126.43|62335|00:43:33
getinverse 151.53.126.43 ||| from 151.53.126.43|64029|00:44:48
get Claudio ||| from 151.53.126.43|64030|00:44:48
getinverse 151.53.126.43 ||| from 151.53.126.43|64032|00:45:34
get Claudio ||| from 151.53.126.43|64033|00:45:34
getinverse 151.53.126.43 ||| from 151.53.126.43|63528|00:46:17
get Claudio ||| from 151.53.126.43|63529|00:46:17
getinverse 151.53.126.43 ||| from 151.53.126.43|60247|00:47:06
get Claudio ||| from 151.53.126.43|60248|00:47:06
getinverse 151.53.126.43 ||| from 151.53.126.43|63724|00:48:10
get Claudio ||| from 151.53.126.43|63725|00:48:10
getinverse 151.53.126.43 ||| from 151.53.126.43|52559|00:48:41
get Claudio ||| from 151.53.126.43|52560|00:48:41
getinverse 151.53.126.43 ||| from 151.53.126.43|54552|00:50:45
get Claudio ||| from 151.53.126.43|54553|00:50:45
getinverse 151.53.126.43 ||| from 151.53.126.43|58658|00:51:50
get Claudio ||| from 151.53.126.43|58659|00:51:50
getinverse 151.53.126.43 ||| from 151.53.126.43|50505|00:53:57
get Claudio ||| from 151.53.126.43|50506|00:53:57
getinverse 151.53.126.43 ||| from 151.53.126.43|51696|00:54:38
get Claudio ||| from 151.53.126.43|51697|00:54:38
getinverse 151.53.126.43 ||| from 151.53.126.43|59902|00:57:39
get Claudio ||| from 151.53.126.43|59903|00:57:39
getinverse 151.53.126.43 ||| from 151.53.126.43|52060|01:04:44
get Claudio ||| from 151.53.126.43|52061|01:04:44
getinverse 151.53.126.43 ||| from 151.53.126.43|52062|01:04:44
getinverse 151.53.126.43 ||| from 151.53.126.43|56415|01:07:51
get Claudio ||| from 151.53.126.43|56416|01:07:51
getinverse 151.53.126.43 ||| from 151.53.126.43|56417|01:07:51
getinverse 151.53.126.43 ||| from 151.53.126.43|57577|01:08:46
get Claudio ||| from 151.53.126.43|57578|01:08:46
getinverse 151.53.126.43 ||| from 151.53.126.43|57579|01:08:47
getinverse 151.53.126.43 ||| from 151.53.126.43|57581|01:09:13
getinverse 151.53.126.43 ||| from 151.53.126.43|57582|01:09:21
get Claudio ||| from 151.53.126.43|57583|01:09:21
getinverse 151.53.126.43 ||| from 151.53.126.43|57584|01:09:22
getinverse 151.53.126.43 ||| from 151.53.126.43|57699|01:13:56
get Claudio ||| from 151.53.126.43|57700|01:13:56
getinverse 151.53.126.43 ||| from 151.53.126.43|57701|01:13:56
getinverse 151.53.126.43 ||| from 151.53.126.43|57702|01:14:03
get Claudio ||| from 151.53.126.43|57703|01:14:03
getinverse 151.53.126.43 ||| from 151.53.126.43|57706|01:14:06
get Claudio ||| from 151.53.126.43|57707|01:14:06
getinverse 151.53.126.43 ||| from 151.53.126.43|57708|01:14:12
get Claudio ||| from 151.53.126.43|57709|01:14:12
getinverse 151.53.126.43 ||| from 151.53.126.43|57710|01:14:13
get Claudio ||| from 151.53.126.43|57711|01:14:13
getinverse 151.53.126.43 ||| from 151.53.126.43|60454|01:16:07
get Claudio ||| from 151.53.126.43|60455|01:16:07
getinverse 151.53.126.43 ||| from 151.53.126.43|64146|01:16:10
get Claudio ||| from 151.53.126.43|64147|01:16:10
getinverse 151.53.126.43 ||| from 151.53.126.43|55651|01:16:25
get Claudio ||| from 151.53.126.43|55652|01:16:25
getinverse 151.53.126.43 ||| from 151.53.126.43|59436|01:17:24
get Claudio ||| from 151.53.126.43|59437|01:17:24
getinverse 151.53.126.43 ||| from 151.53.126.43|59438|01:17:24
getinverse 151.53.126.43 ||| from 151.53.126.43|59439|01:17:29
get Claudio ||| from 151.53.126.43|59440|01:17:29
getinverse 151.53.126.43 ||| from 151.53.126.43|51469|01:19:08
get Claudio ||| from 151.53.126.43|51470|01:19:08
getinverse 151.53.126.43 ||| from 151.53.126.43|51471|01:19:08
getinverse 151.53.126.43 ||| from 151.53.126.43|51473|01:19:13
get Claudio ||| from 151.53.126.43|51474|01:19:13
getinverse 151.53.126.43 ||| from 151.53.126.43|51475|01:19:13
getinverse 151.53.126.43 ||| from 151.53.126.43|64015|01:22:39
get Claudio ||| from 151.53.126.43|64016|01:22:39
getinverse 151.53.126.43 ||| from 151.53.126.43|64017|01:22:40
getinverse 151.53.126.43 ||| from 151.53.126.43|64018|01:22:44
get Claudio ||| from 151.53.126.43|64019|01:22:44
getinverse 151.53.126.43 ||| from 151.53.126.43|64020|01:22:44
getinverse 151.53.126.43 ||| from 151.53.126.43|51662|01:23:37
get Claudio ||| from 151.53.126.43|51663|01:23:37
getinverse 151.53.126.43 ||| from 151.53.126.43|51664|01:23:37
getinverse 151.53.126.43 ||| from 151.53.126.43|51665|01:23:40
get Claudio ||| from 151.53.126.43|51666|01:23:40
getinverse 151.53.126.43 ||| from 151.53.126.43|51667|01:23:40
getinverse 151.53.126.43 ||| from 151.53.126.43|58425|01:25:12
get Claudio ||| from 151.53.126.43|58426|01:25:12
getinverse 151.53.126.43 ||| from 151.53.126.43|51009|01:25:15
get Claudio ||| from 151.53.126.43|51010|01:25:15
getinverse 151.53.126.43 ||| from 151.53.126.43|51011|01:25:35
get Claudio ||| from 151.53.126.43|51012|01:25:35
getinverse 151.53.126.43 ||| from 151.53.126.43|51013|01:25:35
getinverse 151.53.126.43 ||| from 151.53.126.43|51014|01:25:39
get Claudio ||| from 151.53.126.43|51015|01:25:39
getinverse 151.53.126.43 ||| from 151.53.126.43|51016|01:25:40
getlist ||| from 151.53.126.43|65071|03:53:03
getinverse 151.53.126.43 ||| from 151.53.126.43|64016|09:03:05
get Claudio ||| from 151.53.126.43|64017|09:03:05
getinverse 151.53.126.43 ||| from 151.53.126.43|64018|09:03:08
get Claudio ||| from 151.53.126.43|64019|09:03:08
getinverse 151.53.126.43 ||| from 151.53.126.43|61463|09:03:33
get Claudio ||| from 151.53.126.43|61464|09:03:33
getinverse 151.53.126.43 ||| from 151.53.126.43|61465|09:03:36
get Claudio ||| from 151.53.126.43|61466|09:03:36
getinverse 151.53.126.43 ||| from 151.53.126.43|62510|09:03:52
get Claudio ||| from 151.53.126.43|62511|09:03:52
getinverse 151.53.126.43 ||| from 151.53.126.43|62513|09:03:55
get Claudio ||| from 151.53.126.43|62514|09:03:55
getinverse 151.53.126.43 ||| from 151.53.126.43|51957|09:04:39
get Claudio ||| from 151.53.126.43|51958|09:04:39
getinverse 151.53.126.43 ||| from 151.53.126.43|54388|09:04:43
get Claudio ||| from 151.53.126.43|54389|09:04:44
getinverse 151.53.126.43 ||| from 151.53.126.43|54886|09:06:06
get Claudio ||| from 151.53.126.43|54887|09:06:06
getinverse 151.53.126.43 ||| from 151.53.126.43|54889|09:06:09
get Claudio ||| from 151.53.126.43|54890|09:06:09
getinverse 151.53.126.43 ||| from 151.53.126.43|63757|09:08:27
get Claudio ||| from 151.53.126.43|63758|09:08:27
getinverse 151.53.126.43 ||| from 151.53.126.43|63760|09:08:30
get Claudio ||| from 151.53.126.43|63761|09:08:30
getinverse 151.53.126.43 ||| from 151.53.126.43|63764|09:08:36
get Claudio ||| from 151.53.126.43|63765|09:08:36
getinverse 151.53.126.43 ||| from 151.53.126.43|59090|09:10:05
get Claudio ||| from 151.53.126.43|59091|09:10:06
getinverse 151.53.126.43 ||| from 151.53.126.43|59093|09:10:10
get Claudio ||| from 151.53.126.43|59094|09:10:10
getinverse 151.53.126.43 ||| from 151.53.126.43|56702|09:12:22
get Claudio ||| from 151.53.126.43|56703|09:12:22
getinverse 151.53.126.43 ||| from 151.53.126.43|56705|09:12:25
get Claudio ||| from 151.53.126.43|56706|09:12:25
getinverse 151.53.126.43 ||| from 151.53.126.43|56707|09:12:29
get Claudio ||| from 151.53.126.43|56708|09:12:29
getinverse 151.53.126.43 ||| from 151.53.126.43|57390|09:12:52
get Claudio ||| from 151.53.126.43|57391|09:12:52
getinverse 151.53.126.43 ||| from 151.53.126.43|57392|09:12:55
get Claudio ||| from 151.53.126.43|57393|09:12:55
getinverse 151.53.126.43 ||| from 151.53.126.43|50829|09:15:24
get Claudio ||| from 151.53.126.43|50830|09:15:24
getinverse 151.53.126.43 ||| from 151.53.126.43|50831|09:15:27
get Claudio ||| from 151.53.126.43|50832|09:15:27
getinverse 151.53.126.43 ||| from 151.53.126.43|65157|09:16:39
get Claudio ||| from 151.53.126.43|65158|09:16:39
getinverse 151.53.126.43 ||| from 151.53.126.43|65159|09:16:42
get Claudio ||| from 151.53.126.43|65160|09:16:42
getinverse 151.53.126.43 ||| from 151.53.126.43|64978|09:17:06
get Claudio ||| from 151.53.126.43|64979|09:17:06
getinverse 151.53.126.43 ||| from 151.53.126.43|64980|09:17:09
get Claudio ||| from 151.53.126.43|64981|09:17:09
getinverse 151.53.126.43 ||| from 151.53.126.43|52654|09:18:48
get Claudio ||| from 151.53.126.43|52655|09:18:48
getinverse 151.53.126.43 ||| from 151.53.126.43|52656|09:18:50
get Claudio ||| from 151.53.126.43|52657|09:18:50
getinverse 151.53.126.43 ||| from 151.53.126.43|60370|09:19:21
get Claudio ||| from 151.53.126.43|60371|09:19:21
getinverse 151.53.126.43 ||| from 151.53.126.43|60372|09:19:25
get Claudio ||| from 151.53.126.43|60373|09:19:25
getinverse 151.53.126.43 ||| from 151.53.126.43|55037|09:20:00
get Claudio ||| from 151.53.126.43|55038|09:20:00
getinverse 151.53.126.43 ||| from 151.53.126.43|55039|09:20:03
get Claudio ||| from 151.53.126.43|55040|09:20:03
getinverse 151.53.126.43 ||| from 151.53.126.43|63097|09:22:13
get Claudio ||| from 151.53.126.43|63098|09:22:13
getinverse 151.53.126.43 ||| from 151.53.126.43|63099|09:22:16
get Claudio ||| from 151.53.126.43|63100|09:22:16
getinverse 151.53.126.43 ||| from 151.53.126.43|62492|09:22:39
get Claudio ||| from 151.53.126.43|62493|09:22:39
getinverse 151.53.126.43 ||| from 151.53.126.43|62494|09:22:41
get Claudio ||| from 151.53.126.43|62495|09:22:41
getinverse 151.53.126.43 ||| from 151.53.126.43|62500|09:23:06
get Claudio ||| from 151.53.126.43|62501|09:23:06
getinverse 151.53.126.43 ||| from 151.53.126.43|62503|09:23:10
get Claudio ||| from 151.53.126.43|62504|09:23:10
getinverse 151.53.126.43 ||| from 151.53.126.43|54035|09:23:27
get Claudio ||| from 151.53.126.43|54036|09:23:27
getinverse 151.53.126.43 ||| from 151.53.126.43|59561|09:24:05
get Claudio ||| from 151.53.126.43|59562|09:24:05
getinverse 151.53.126.43 ||| from 151.53.126.43|59563|09:24:08
get Claudio ||| from 151.53.126.43|59564|09:24:08
getinverse 151.53.126.43 ||| from 151.53.126.43|50749|09:24:38
get Claudio ||| from 151.53.126.43|50750|09:24:38
getinverse 151.53.126.43 ||| from 151.53.126.43|50751|09:24:41
get Claudio ||| from 151.53.126.43|50752|09:24:41
getinverse 151.53.126.43 ||| from 151.53.126.43|55243|09:25:01
get Claudio ||| from 151.53.126.43|55244|09:25:01
getinverse 151.53.126.43 ||| from 151.53.126.43|55245|09:25:05
get Claudio ||| from 151.53.126.43|55246|09:25:05
getinverse 151.53.126.43 ||| from 151.53.126.43|55248|09:25:13
get Claudio ||| from 151.53.126.43|55249|09:25:13
getinverse 151.53.126.43 ||| from 151.53.126.43|50550|09:26:09
get Claudio ||| from 151.53.126.43|50551|09:26:09
getinverse 151.53.126.43 ||| from 151.53.126.43|50552|09:26:12
get Claudio ||| from 151.53.126.43|50553|09:26:12
getinverse 151.53.126.43 ||| from 151.53.126.43|50555|09:26:19
get Claudio ||| from 151.53.126.43|50556|09:26:19
getinverse 151.53.126.43 ||| from 151.53.126.43|54464|09:28:04
get Claudio ||| from 151.53.126.43|54465|09:28:04
getinverse 151.53.126.43 ||| from 151.53.126.43|54466|09:28:08
get Claudio ||| from 151.53.126.43|54467|09:28:08
getinverse 151.53.126.43 ||| from 151.53.126.43|54468|09:28:12
get Claudio ||| from 151.53.126.43|54469|09:28:12
getinverse 151.53.126.43 ||| from 151.53.126.43|58861|09:28:37
get Claudio ||| from 151.53.126.43|58862|09:28:37
getinverse 151.53.126.43 ||| from 151.53.126.43|58863|09:28:40
get Claudio ||| from 151.53.126.43|58864|09:28:40
getinverse 151.53.126.43 ||| from 151.53.126.43|59440|09:30:12
get Claudio ||| from 151.53.126.43|59441|09:30:12
getinverse 151.53.126.43 ||| from 151.53.126.43|59443|09:30:15
get Claudio ||| from 151.53.126.43|59444|09:30:15
getinverse 151.53.126.43 ||| from 151.53.126.43|51876|09:31:00
get Claudio ||| from 151.53.126.43|51877|09:31:00
getinverse 151.53.126.43 ||| from 151.53.126.43|51878|09:31:03
get Claudio ||| from 151.53.126.43|51879|09:31:03
getinverse 151.53.126.43 ||| from 151.53.126.43|51881|09:31:08
get Claudio ||| from 151.53.126.43|51882|09:31:08
getinverse 151.53.126.43 ||| from 151.53.126.43|53201|09:31:41
get Claudio ||| from 151.53.126.43|53202|09:31:41
getinverse 151.53.126.43 ||| from 151.53.126.43|53203|09:31:44
get Claudio ||| from 151.53.126.43|53204|09:31:44
getinverse 151.53.126.43 ||| from 151.53.126.43|53206|09:31:48
get Claudio ||| from 151.53.126.43|53207|09:31:48
getinverse 151.53.126.43 ||| from 151.53.126.43|53200|09:32:07
get Claudio ||| from 151.53.126.43|53201|09:32:07
getinverse 151.53.126.43 ||| from 151.53.126.43|53202|09:32:10
get Claudio ||| from 151.53.126.43|53203|09:32:10
getinverse 151.53.126.43 ||| from 151.53.126.43|53204|09:32:16
get Claudio ||| from 151.53.126.43|53205|09:32:16
getinverse 151.53.126.43 ||| from 151.53.126.43|53207|09:32:36
get Claudio ||| from 151.53.126.43|53208|09:32:36
getinverse 151.53.126.43 ||| from 151.53.126.43|53209|09:32:39
get Claudio ||| from 151.53.126.43|53210|09:32:39
