f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
64;3;2;3;0.2;64;96;0.2;32;1.972509741783142;9.0
96;1;3;1;0.4;64;32;0.5;64;2.9186532497406006;11.0
96;2;3;2;0.1;32;96;0.5;96;1.4291436672210693;14.0
64;4;2;2;0.5;96;64;0.1;128;1.6609258651733398;12.0
96;3;3;1;0.4;32;128;0.4;32;1.6711623668670654;11.0
32;4;3;5;0.4;128;64;0.5;32;1.5032309293746948;20.0
64;1;2;1;0.1;96;64;0.3;32;1.6408257484436035;9.0
64;2;1;4;0.1;156;96;0.1;32;1.8801475763320923;6.0
128;5;3;1;0.4;96;32;0.5;96;2.9190289974212646;9.0
96;5;2;4;0.2;256;96;0.2;128;2.331052303314209;11.0
64;1;2;4;0.5;96;64;0.2;256;1.5295684337615967;10.0
128;2;1;2;0.2;96;32;0.2;64;1.7238441705703735;12.0
96;4;3;4;0.2;256;96;0.5;128;1.7516447305679321;15.0
64;2;3;4;0.1;128;32;0.3;128;2.918323040008545;8.0
32;2;2;1;0.2;96;96;0.5;64;1.7859872579574585;10.0
64;5;3;4;0.3;128;96;0.3;96;1.5900297164916992;9.0
64;1;3;1;0.5;256;128;0.5;256;1.4260040521621704;16.0
156;5;4;4;0.2;156;96;0.4;128;1.857425332069397;11.0
256;3;4;5;0.1;32;64;0.3;128;1.7701683044433594;10.0
96;3;2;2;0.4;64;64;0.2;128;1.584525227546692;9.0
32;3;2;4;0.4;128;64;0.1;64;1.6168073415756226;10.0
64;1;5;5;0.2;32;96;0.5;128;2.9189770221710205;7.0
256;3;4;2;0.2;256;32;0.3;32;2.9189491271972656;18.0
156;3;2;3;0.2;256;96;0.1;32;1.7101513147354126;9.0
96;4;2;2;0.2;32;32;0.2;128;2.918368339538574;6.0
256;5;1;3;0.1;128;128;0.5;128;1.6775857210159302;9.0
156;5;1;4;0.2;256;32;0.4;128;2.9188404083251953;11.0
96;3;3;1;0.3;96;96;0.5;96;1.6861294507980347;13.0
96;4;4;1;0.4;156;128;0.5;32;1.599767804145813;15.0
256;3;3;5;0.3;256;32;0.4;64;2.919431447982788;12.0
128;5;5;4;0.1;256;128;0.1;128;2.352604627609253;11.0
96;2;5;4;0.2;64;128;0.4;32;1.7160015106201172;11.0
156;2;3;1;0.1;32;32;0.5;128;2.9189112186431885;11.0
128;2;2;3;0.1;256;96;0.3;96;1.8452883958816528;6.0
156;3;1;1;0.4;256;96;0.1;96;1.928119421005249;9.0
156;5;5;3;0.5;128;96;0.2;64;1.6195216178894043;15.0
64;4;2;3;0.1;96;64;0.3;96;1.8732799291610718;8.0
96;5;4;2;0.5;32;64;0.1;96;2.917900562286377;5.0
156;5;5;3;0.1;256;64;0.5;32;1.9266756772994995;10.0
96;3;3;3;0.2;32;64;0.4;32;1.646895170211792;9.0
156;5;2;3;0.3;64;96;0.3;128;1.4887399673461914;7.0
156;2;4;2;0.2;156;128;0.2;96;1.7702035903930664;7.0
128;2;5;1;0.5;32;96;0.3;32;1.640384316444397;13.0
64;2;2;4;0.3;32;64;0.1;128;1.698604702949524;8.0
256;1;1;3;0.3;156;128;0.3;96;1.6354178190231323;8.0
256;4;3;3;0.3;128;96;0.4;96;1.7235050201416016;13.0
156;5;2;2;0.1;256;32;0.4;64;1.7125988006591797;12.0
32;5;5;3;0.1;96;64;0.5;64;1.8650918006896973;12.0
156;2;3;4;0.1;32;128;0.4;64;1.7057256698608398;8.0
128;4;3;5;0.1;32;64;0.2;96;2.236301898956299;12.0
96;1;4;1;0.5;156;96;0.1;96;1.6356698274612427;13.0
32;1;4;4;0.1;64;64;0.4;96;1.6863937377929688;17.0
128;3;3;2;0.2;256;96;0.5;256;1.5553921461105347;15.0
156;2;5;2;0.5;128;32;0.5;32;2.918344736099243;9.0
128;2;2;1;0.4;96;128;0.5;256;1.400858998298645;17.0
156;3;1;3;0.4;156;64;0.3;96;1.6006742715835571;17.0
156;5;2;5;0.5;64;32;0.2;64;2.919395685195923;12.0
96;2;2;3;0.2;32;128;0.3;64;1.5393481254577637;7.0
128;3;3;4;0.4;156;128;0.3;64;1.761712670326233;13.0
96;1;4;2;0.2;256;128;0.4;256;1.6706387996673584;8.0
156;2;3;4;0.3;256;64;0.1;64;1.7828725576400757;11.0
96;2;5;3;0.3;64;96;0.5;256;1.7588417530059814;8.0
156;3;5;5;0.2;256;96;0.5;256;1.7326725721359253;14.0
128;4;1;4;0.4;96;64;0.1;128;1.5570684671401978;10.0
128;5;2;2;0.4;64;96;0.2;64;1.602535605430603;9.0
156;3;1;5;0.1;128;96;0.2;96;2.0126407146453857;7.0
96;1;1;1;0.1;96;128;0.4;32;1.7649950981140137;8.0
156;4;3;2;0.5;64;128;0.2;64;1.7634233236312866;13.0
156;3;4;4;0.4;256;128;0.1;128;1.684830904006958;9.0
256;4;2;1;0.5;64;128;0.3;128;1.7097452878952026;15.0
128;1;2;5;0.5;128;64;0.4;256;2.9187331199645996;7.0
128;3;5;1;0.4;32;64;0.1;256;1.6271309852600098;9.0
156;3;2;3;0.4;64;32;0.1;32;2.918928861618042;14.0
256;4;2;3;0.3;156;96;0.4;64;1.4144824743270874;12.0
96;1;2;3;0.3;96;64;0.1;96;1.9049280881881714;9.0
64;2;4;1;0.4;128;96;0.4;64;1.7358193397521973;13.0
32;3;2;2;0.3;96;128;0.1;64;1.9261399507522583;8.0
32;5;3;3;0.5;64;64;0.2;256;1.77838933467865;21.0
32;5;5;2;0.2;156;64;0.2;32;1.906164526939392;9.0
156;1;2;3;0.3;64;96;0.5;64;1.5828664302825928;11.0
32;1;1;3;0.1;64;96;0.5;128;1.673749327659607;9.0
32;5;1;2;0.5;32;64;0.2;96;1.428611397743225;16.0
128;3;5;3;0.4;256;96;0.3;64;2.0883994102478027;16.0
96;2;1;2;0.5;64;128;0.4;96;1.5062806606292725;15.0
96;5;3;4;0.5;128;32;0.4;96;2.9196627140045166;10.0
128;5;2;2;0.5;128;32;0.4;128;2.919311761856079;14.0
128;1;1;5;0.3;256;128;0.1;96;2.0614726543426514;10.0
64;5;3;4;0.1;96;128;0.1;128;1.9616246223449707;7.0
128;3;2;4;0.3;64;128;0.2;32;1.7101380825042725;10.0
32;4;3;4;0.5;256;128;0.4;256;1.7915726900100708;14.0
96;1;3;5;0.3;156;64;0.2;64;1.865054726600647;10.0
156;4;5;3;0.2;32;96;0.3;32;1.707433819770813;8.0
256;3;5;5;0.3;32;96;0.2;64;1.5826233625411987;17.0
64;1;4;2;0.5;32;128;0.2;32;1.660295844078064;12.0
156;3;2;3;0.4;96;64;0.1;32;1.6064112186431885;11.0
64;4;4;2;0.2;256;32;0.2;256;2.918910503387451;13.0
128;1;4;4;0.5;128;32;0.5;32;2.919304847717285;11.0
32;2;3;3;0.3;64;32;0.4;96;2.918178081512451;5.0
32;4;2;2;0.4;96;128;0.4;96;1.5627294778823853;11.0
96;1;1;5;0.4;128;32;0.3;32;1.5239075422286987;12.0
256;2;1;4;0.4;96;32;0.4;32;1.8116226196289062;23.0
156;2;2;2;0.1;128;96;0.1;64;2.2159881591796875;8.0
96;4;3;3;0.5;156;128;0.4;256;1.6582468748092651;10.0
156;1;5;2;0.1;32;96;0.3;128;1.8576607704162598;6.0
96;5;2;1;0.3;96;32;0.3;32;1.4142906665802002;15.0
32;3;4;5;0.4;96;64;0.4;32;1.548689365386963;14.0
64;4;3;2;0.3;32;128;0.4;96;1.6153242588043213;10.0
256;2;4;5;0.4;96;96;0.5;256;1.5307421684265137;17.0
128;1;2;5;0.3;156;96;0.3;128;1.6383663415908813;8.0
156;4;3;3;0.1;256;96;0.1;32;2.1300148963928223;11.0
32;1;4;2;0.4;32;128;0.1;64;1.7781093120574951;10.0
32;1;3;2;0.3;256;64;0.4;256;2.918609619140625;10.0
96;5;4;3;0.3;32;128;0.2;64;1.7630079984664917;8.0
64;5;1;3;0.2;256;128;0.1;256;2.3393547534942627;9.0
156;1;1;4;0.2;128;128;0.2;256;1.870675802230835;8.0
156;5;1;4;0.4;156;128;0.2;64;2.0702407360076904;12.0
128;5;1;5;0.2;128;64;0.3;128;1.6706814765930176;6.0
128;5;2;1;0.2;156;32;0.5;64;2.9178884029388428;5.0
96;1;4;4;0.5;256;128;0.1;256;1.7021782398223877;11.0
96;5;5;2;0.5;96;128;0.5;256;1.670080304145813;21.0
156;1;1;3;0.2;156;32;0.2;128;2.9193291664123535;13.0
156;5;3;3;0.1;256;32;0.4;64;2.918398857116699;6.0
128;2;1;1;0.2;32;128;0.1;32;1.6282683610916138;8.0
32;5;3;3;0.2;156;96;0.2;64;1.8468259572982788;9.0
64;2;1;2;0.4;64;64;0.1;64;1.6640783548355103;13.0
128;3;3;2;0.1;96;128;0.4;64;1.9923347234725952;9.0
128;2;3;5;0.2;156;96;0.5;96;1.674430251121521;14.0
156;1;2;1;0.5;64;32;0.2;256;2.918898582458496;13.0
128;1;2;4;0.4;32;32;0.1;256;2.9182004928588867;8.0
156;1;3;1;0.4;128;64;0.5;96;2.9189605712890625;14.0
156;5;5;3;0.5;128;64;0.4;96;2.920048713684082;15.0
