f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
32;1;4;2;0.3;156;128;0.3;64;1.4542491436004639;8.0
32;5;3;5;0.3;32;96;0.3;96;1.1843934059143066;13.0
128;5;5;4;0.4;128;64;0.3;96;1.3337173461914062;14.0
64;1;5;5;0.3;156;32;0.1;96;1.2886524200439453;13.0
256;2;4;3;0.1;156;64;0.4;32;1.4822235107421875;13.0
256;2;4;4;0.4;256;32;0.2;96;1.226582646369934;11.0
32;5;4;2;0.5;64;96;0.3;256;1.3481048345565796;14.0
64;3;5;3;0.3;156;64;0.2;96;1.2573614120483398;10.0
128;1;4;3;0.1;96;64;0.4;96;1.3356974124908447;13.0
32;1;3;5;0.5;64;128;0.1;32;1.4268969297409058;13.0
64;5;4;3;0.3;256;64;0.2;256;1.2892149686813354;10.0
256;4;5;1;0.5;96;96;0.4;64;1.523769497871399;15.0
96;1;3;2;0.1;128;64;0.1;256;1.3804824352264404;8.0
96;1;2;4;0.3;256;64;0.5;128;1.3773547410964966;12.0
156;3;5;1;0.1;128;64;0.2;96;1.3210266828536987;12.0
128;5;1;5;0.1;156;96;0.4;32;1.3691740036010742;15.0
96;3;2;5;0.4;64;128;0.2;128;1.2768893241882324;7.0
156;2;3;1;0.1;256;96;0.1;64;1.4010075330734253;9.0
156;2;4;4;0.4;32;128;0.2;96;1.4179790019989014;11.0
96;3;5;4;0.2;32;128;0.4;64;1.2759253978729248;12.0
256;4;4;1;0.4;96;96;0.2;256;1.2284573316574097;12.0
32;3;1;2;0.2;256;96;0.1;128;1.2346004247665405;11.0
128;5;4;1;0.2;128;128;0.2;256;1.2248051166534424;14.0
64;3;3;2;0.5;96;128;0.2;64;1.2576617002487183;22.0
32;2;5;2;0.5;64;128;0.4;128;1.2138593196868896;13.0
32;2;4;4;0.1;256;128;0.3;256;1.272902011871338;9.0
32;1;5;4;0.4;32;96;0.5;32;1.244288682937622;14.0
96;4;1;5;0.4;128;64;0.3;32;1.3376238346099854;12.0
32;2;2;1;0.1;32;32;0.5;32;1.6310369968414307;12.0
64;5;1;1;0.3;128;64;0.5;256;1.183734655380249;12.0
96;5;3;3;0.1;128;64;0.3;64;1.3082772493362427;14.0
128;3;4;5;0.1;64;128;0.4;96;1.2725412845611572;12.0
256;4;3;4;0.3;128;96;0.4;256;1.2869250774383545;17.0
156;2;3;1;0.5;256;96;0.4;64;1.5696890354156494;18.0
96;4;1;3;0.4;32;96;0.3;128;1.4310401678085327;13.0
64;1;2;3;0.4;256;64;0.2;32;1.4048807621002197;18.0
256;3;2;5;0.5;256;96;0.1;256;1.1468147039413452;14.0
32;1;1;1;0.2;128;64;0.4;32;1.366890788078308;14.0
128;3;1;2;0.5;156;96;0.3;128;1.214768648147583;20.0
32;4;1;2;0.1;96;64;0.2;32;1.2516162395477295;15.0
64;4;1;3;0.5;96;32;0.4;64;1.2522873878479004;17.0
32;4;4;5;0.2;156;32;0.1;96;1.2652651071548462;12.0
32;3;2;1;0.4;128;64;0.1;256;1.167698860168457;17.0
156;5;4;2;0.5;156;32;0.1;128;1.3978297710418701;21.0
32;5;3;5;0.5;128;96;0.1;32;1.1337361335754395;13.0
32;4;3;3;0.2;128;32;0.2;256;1.2689218521118164;10.0
64;3;5;1;0.4;128;32;0.3;96;1.2416635751724243;19.0
128;2;2;2;0.4;156;64;0.2;128;1.2395159006118774;13.0
256;3;5;4;0.4;128;96;0.2;64;1.2086005210876465;13.0
32;4;5;4;0.4;32;64;0.4;128;1.2140026092529297;13.0
96;2;2;3;0.5;32;96;0.1;32;1.3821290731430054;10.0
256;1;3;2;0.2;96;64;0.5;64;1.2293446063995361;16.0
96;4;2;2;0.3;32;128;0.5;128;1.4950473308563232;12.0
96;3;5;2;0.1;128;32;0.3;128;1.3548370599746704;13.0
32;2;2;4;0.3;96;128;0.2;64;1.4222296476364136;13.0
96;1;3;4;0.5;64;128;0.1;256;1.368789553642273;9.0
256;4;1;3;0.4;32;32;0.4;32;1.4087899923324585;17.0
256;1;4;1;0.5;128;32;0.4;96;1.3806687593460083;14.0
96;4;5;2;0.2;256;96;0.2;128;1.1921393871307373;11.0
128;3;2;2;0.5;256;64;0.2;96;1.1781883239746094;13.0
156;2;2;3;0.3;256;32;0.2;128;1.3656485080718994;14.0
128;1;4;1;0.4;32;96;0.2;96;1.2808483839035034;15.0
96;5;1;5;0.3;128;32;0.1;96;1.2123539447784424;12.0
156;1;1;3;0.1;96;96;0.5;64;1.480996012687683;12.0
32;1;2;2;0.3;32;64;0.3;96;1.192613124847412;14.0
128;1;2;1;0.1;156;96;0.1;32;1.5375267267227173;12.0
32;5;1;2;0.4;96;96;0.1;32;1.3843755722045898;7.0
156;5;4;4;0.4;156;32;0.1;128;1.1684346199035645;12.0
32;5;3;3;0.2;96;64;0.5;96;1.168128252029419;10.0
96;2;3;2;0.5;64;128;0.1;32;1.221228837966919;16.0
128;3;5;5;0.4;256;96;0.1;96;1.114180564880371;11.0
64;4;5;4;0.5;128;64;0.1;96;1.2090427875518799;12.0
156;3;2;5;0.3;156;96;0.1;256;1.3929082155227661;9.0
32;4;4;2;0.3;256;96;0.4;64;1.179749846458435;11.0
156;2;2;5;0.2;32;96;0.4;256;1.2092574834823608;11.0
32;1;5;5;0.2;96;96;0.3;96;1.2596875429153442;8.0
256;5;2;2;0.2;156;64;0.1;64;1.213992953300476;9.0
64;4;5;1;0.4;96;128;0.2;64;1.5405023097991943;8.0
32;1;2;4;0.2;32;32;0.2;256;1.432554006576538;14.0
128;2;2;2;0.3;64;128;0.3;128;1.3636784553527832;10.0
96;3;4;2;0.3;256;64;0.1;128;1.2790167331695557;11.0
32;5;5;5;0.4;96;64;0.1;128;1.2496154308319092;15.0
256;1;5;1;0.4;96;96;0.3;128;1.3564989566802979;13.0
64;5;4;1;0.1;256;96;0.3;64;1.2150527238845825;15.0
256;5;5;1;0.4;96;32;0.2;96;1.3756365776062012;12.0
156;1;4;3;0.4;156;32;0.4;32;1.3499847650527954;18.0
64;1;1;3;0.5;64;64;0.2;32;1.5617073774337769;11.0
