f_gru;f_drop;s_gru;f_dense;s_dense;s_drop;t_dense;test_loss;Epochs
96;0.2;96;128;64;0.5;32;1.7755796909332275;19.0
64;0.5;64;96;32;0.5;64;1.812388300895691;20.0
96;0.1;128;96;32;0.5;128;1.827604055404663;22.0
128;0.5;156;96;96;0.3;32;1.6269859075546265;17.0
64;0.4;128;96;96;0.3;32;1.5407060384750366;24.0
128;0.2;156;128;32;0.2;96;1.3196450471878052;22.0
96;0.2;32;32;64;0.1;96;1.648685097694397;19.0
64;0.3;156;32;64;0.3;128;1.5637105703353882;23.0
32;0.3;156;128;32;0.5;96;1.694962978363037;30.0
32;0.2;96;64;64;0.4;128;1.5844767093658447;22.0
32;0.4;128;64;96;0.5;96;1.7527984380722046;12.0
32;0.2;128;96;96;0.3;96;1.6916416883468628;12.0
32;0.5;64;64;64;0.4;96;1.8046013116836548;13.0
128;0.3;96;64;96;0.4;128;1.5080146789550781;19.0
156;0.2;32;64;96;0.1;128;1.5487605333328247;11.0
128;0.1;64;32;64;0.1;32;1.5487215518951416;20.0
128;0.3;156;32;96;0.4;32;1.4245585203170776;24.0
32;0.2;64;128;128;0.3;64;1.717096209526062;12.0
64;0.4;32;128;128;0.1;32;1.7525579929351807;17.0
96;0.5;32;128;96;0.5;32;1.5204476118087769;22.0
128;0.3;96;128;32;0.4;32;1.8313350677490234;11.0
64;0.2;96;64;64;0.4;128;1.7769519090652466;14.0
64;0.2;128;64;32;0.5;32;1.8950997591018677;26.0
128;0.2;156;64;32;0.4;128;1.4431055784225464;30.0
128;0.1;156;32;128;0.4;128;1.4356688261032104;21.0
32;0.1;156;128;128;0.1;128;1.6852778196334839;13.0
32;0.3;64;96;32;0.3;32;1.7906339168548584;17.0
64;0.5;32;32;96;0.2;32;1.5577094554901123;18.0
156;0.2;32;64;128;0.2;64;1.6904828548431396;17.0
156;0.4;96;128;96;0.2;64;1.737302541732788;20.0
64;0.2;156;64;64;0.2;96;1.463624119758606;20.0
32;0.4;96;96;128;0.4;32;1.5262047052383423;21.0
32;0.3;64;32;96;0.1;96;1.6978228092193604;15.0
128;0.2;64;32;128;0.2;32;1.4626622200012207;17.0
32;0.1;64;96;32;0.4;32;1.7233330011367798;25.0
32;0.4;32;32;64;0.5;96;1.9798086881637573;7.0
32;0.2;96;128;96;0.1;96;1.77346670627594;18.0
96;0.4;96;128;96;0.1;64;1.6585819721221924;13.0
96;0.5;96;64;128;0.5;96;1.3880871534347534;30.0
96;0.2;128;128;128;0.2;96;1.7449344396591187;17.0
32;0.4;156;32;96;0.3;128;1.5028743743896484;20.0
128;0.5;96;32;128;0.4;96;1.4480479955673218;27.0
64;0.3;64;64;32;0.3;32;1.846977949142456;10.0
96;0.1;128;32;64;0.5;96;1.7973642349243164;30.0
32;0.1;96;32;32;0.2;128;1.5766370296478271;21.0
32;0.4;96;96;128;0.3;32;1.3971656560897827;17.0
156;0.5;64;64;128;0.1;96;1.6379677057266235;13.0
96;0.4;128;96;64;0.5;96;1.7183849811553955;13.0
32;0.3;64;32;96;0.1;64;1.6649311780929565;16.0
156;0.4;64;128;96;0.5;32;1.6466108560562134;21.0
156;0.1;64;128;96;0.5;64;1.5541690587997437;22.0
64;0.3;96;32;32;0.2;128;1.336177945137024;26.0
32;0.5;32;64;64;0.4;96;1.5734810829162598;29.0
128;0.2;64;128;64;0.5;32;1.6714755296707153;25.0
64;0.2;128;128;64;0.5;96;1.8066657781600952;14.0
128;0.2;156;32;32;0.5;96;2.042400598526001;11.0
32;0.4;32;128;128;0.3;96;1.7827578783035278;10.0
128;0.3;32;128;96;0.3;64;1.6265639066696167;22.0
64;0.3;128;96;96;0.1;128;1.7424005270004272;11.0
96;0.2;32;128;128;0.4;64;1.7192200422286987;22.0
128;0.3;96;32;96;0.2;64;1.5769075155258179;18.0
32;0.4;32;64;32;0.4;64;1.7019553184509277;22.0
156;0.2;64;96;32;0.1;96;1.977431297302246;20.0
156;0.2;128;128;64;0.1;96;1.5457236766815186;16.0
128;0.3;32;32;32;0.4;32;1.702399730682373;30.0
32;0.1;32;128;64;0.1;32;1.6602630615234375;9.0
