f_filter;f_kernel;s_kernel;t_kernel;f_drop;s_filter;f_dense;s_drop;t_filter;test_loss;Epochs
96;2;5;1;0.3;128;32;0.1;128;1.1726337671279907;12.0
156;2;3;4;0.4;32;32;0.3;256;1.1615091562271118;21.0
96;5;2;5;0.5;128;128;0.5;64;0.9905686974525452;24.0
64;2;4;1;0.2;64;32;0.5;32;1.178026795387268;24.0
64;2;1;4;0.3;156;64;0.4;256;1.1221740245819092;12.0
256;5;5;1;0.3;64;64;0.4;128;1.100791096687317;20.0
96;4;2;3;0.1;256;96;0.3;96;1.1358896493911743;11.0
256;4;4;2;0.1;32;64;0.3;128;1.1864410638809204;16.0
96;5;1;5;0.3;156;64;0.4;96;1.164070963859558;12.0
156;1;5;5;0.5;32;128;0.2;96;1.05214524269104;22.0
156;4;1;5;0.3;32;128;0.1;128;1.1406505107879639;17.0
156;5;3;1;0.2;96;64;0.3;128;1.2407835721969604;17.0
256;4;2;3;0.5;256;128;0.4;96;1.0515669584274292;22.0
96;5;3;3;0.1;32;64;0.1;128;0.993524432182312;14.0
32;3;5;2;0.3;256;32;0.1;96;1.0848764181137085;18.0
96;2;4;3;0.2;32;96;0.3;64;1.1663691997528076;10.0
64;4;4;5;0.5;32;64;0.1;128;1.3971095085144043;9.0
64;4;1;1;0.4;32;64;0.1;96;1.1431331634521484;19.0
64;3;2;5;0.1;32;32;0.1;96;1.22165048122406;13.0
256;3;5;4;0.3;256;32;0.3;256;2.7159383296966553;5.0
128;2;3;1;0.4;64;96;0.4;96;1.1302626132965088;16.0
32;4;5;2;0.2;156;64;0.2;64;1.149134874343872;15.0
128;5;1;5;0.3;32;32;0.4;256;1.137706995010376;21.0
156;3;4;5;0.2;256;128;0.2;128;1.0925737619400024;10.0
156;3;1;1;0.4;64;64;0.3;64;1.0428794622421265;17.0
256;2;1;4;0.3;156;32;0.1;96;1.1574152708053589;11.0
96;5;2;4;0.3;32;96;0.5;64;1.022558331489563;20.0
64;5;3;1;0.3;64;64;0.1;32;1.2594634294509888;16.0
256;4;4;5;0.2;32;96;0.2;64;1.0270441770553589;15.0
256;5;1;4;0.1;256;128;0.2;256;1.1203874349594116;10.0
32;5;5;4;0.1;156;32;0.1;128;1.1142525672912598;9.0
256;2;5;1;0.4;156;128;0.3;256;1.1054275035858154;19.0
156;4;3;5;0.3;96;128;0.2;64;1.088621973991394;18.0
156;2;5;1;0.5;156;128;0.4;64;1.150683879852295;18.0
256;2;3;2;0.1;156;32;0.5;256;2.725202798843384;4.0
32;1;2;2;0.2;156;64;0.1;96;1.1585538387298584;13.0
96;1;3;4;0.4;32;128;0.1;32;1.09614896774292;17.0
156;1;5;5;0.5;128;128;0.3;256;1.1107779741287231;15.0
64;3;5;2;0.2;256;96;0.4;64;1.101826786994934;14.0
256;1;5;2;0.3;32;96;0.4;128;1.3180317878723145;15.0
64;3;2;5;0.5;156;128;0.1;128;1.0739389657974243;15.0
64;3;3;3;0.5;96;64;0.1;128;1.0743485689163208;13.0
256;4;4;5;0.3;64;96;0.1;32;1.0148684978485107;16.0
64;3;5;4;0.5;32;32;0.5;32;1.2508304119110107;25.0
64;2;3;2;0.2;32;128;0.1;128;1.0931059122085571;12.0
128;5;3;2;0.2;64;96;0.3;128;1.0242016315460205;11.0
156;1;5;3;0.1;64;64;0.1;256;1.1003316640853882;11.0
64;4;5;3;0.2;96;128;0.1;64;1.1966512203216553;10.0
256;5;4;5;0.5;96;64;0.4;64;1.2026770114898682;17.0
64;4;4;3;0.4;128;32;0.5;256;1.0765522718429565;28.0
156;2;3;4;0.4;256;32;0.3;256;1.056546926498413;15.0
64;3;4;5;0.1;96;128;0.3;256;1.1539223194122314;8.0
128;5;2;3;0.2;256;128;0.3;128;1.223908543586731;15.0
96;2;4;2;0.4;128;32;0.4;32;1.142748236656189;18.0
156;3;4;5;0.4;256;128;0.2;32;0.9979808926582336;16.0
32;5;2;5;0.1;128;64;0.5;256;1.4892594814300537;12.0
256;5;2;3;0.4;128;64;0.2;32;1.0983260869979858;26.0
96;1;4;4;0.1;256;64;0.5;32;1.0933918952941895;12.0
64;2;3;4;0.2;32;32;0.2;32;1.1534451246261597;20.0
256;5;5;2;0.3;256;128;0.5;256;1.1527060270309448;15.0
128;1;2;5;0.1;32;96;0.5;256;1.109116792678833;12.0
128;1;1;4;0.3;32;128;0.2;64;1.1082097291946411;11.0
128;4;2;3;0.1;64;64;0.3;32;1.0732439756393433;14.0
156;3;4;4;0.2;64;96;0.2;96;1.1522107124328613;13.0
256;4;5;5;0.5;64;96;0.5;32;1.2714513540267944;16.0
32;1;4;5;0.4;64;32;0.4;128;1.1084192991256714;20.0
96;3;2;3;0.5;32;32;0.1;256;1.0880249738693237;27.0
64;5;1;2;0.2;256;96;0.1;64;1.0953617095947266;8.0
64;4;4;5;0.4;156;32;0.5;128;1.1397079229354858;22.0
128;2;3;2;0.4;32;128;0.1;96;1.0898268222808838;13.0
128;3;4;4;0.5;156;32;0.2;64;1.007153868675232;23.0
256;2;3;4;0.4;256;128;0.2;96;1.0425492525100708;19.0
128;1;2;4;0.1;64;32;0.4;32;1.2053542137145996;14.0
156;3;4;1;0.1;64;96;0.1;128;1.2735271453857422;14.0
